frameId,pointNum,posX,posY,posX,doppler,time
0,13,0.964896,-0.122361,0.110567,0.083191,2021-03-14 14:09:00.107757
0,13,1.445999,-0.183541,0.177192,0.083191,2021-03-14 14:09:00.107757
0,13,1.919515,-0.305902,0.234032,0.083191,2021-03-14 14:09:00.107757
0,13,2.363001,-0.611805,0.175503,0.083191,2021-03-14 14:09:00.107757
0,13,0.963837,-0.122361,0.119444,0.166382,2021-03-14 14:09:00.107757
0,13,1.445070,-0.183541,0.184613,0.166382,2021-03-14 14:09:00.107757
0,13,1.918280,-0.305902,0.243948,0.166382,2021-03-14 14:09:00.107757
0,13,0.968963,-0.122361,0.066029,-0.166382,2021-03-14 14:09:00.107757
0,13,1.453632,-0.183541,0.096244,-0.166382,2021-03-14 14:09:00.107757
0,13,1.929306,-0.305902,0.130716,-0.166382,2021-03-14 14:09:00.107757
0,13,0.968775,-0.122361,0.068727,-0.083191,2021-03-14 14:09:00.107757
0,13,1.453382,-0.183541,0.099949,-0.083191,2021-03-14 14:09:00.107757
0,13,1.928632,-0.305902,0.140314,-0.083191,2021-03-14 14:09:00.107757
1,26,0.953457,-0.214132,0.057341,0.000000,2021-03-14 14:09:00.205366
1,26,1.429792,-0.321198,0.092336,0.000000,2021-03-14 14:09:00.205366
1,26,0.959163,-0.183541,0.067381,0.083191,2021-03-14 14:09:00.205366
1,26,1.430758,-0.321198,0.075903,0.083191,2021-03-14 14:09:00.205366
1,26,1.908359,-0.428263,0.087401,0.083191,2021-03-14 14:09:00.205366
1,26,2.389263,-0.382378,0.366187,0.083191,2021-03-14 14:09:00.205366
1,26,0.958803,-0.183541,0.072317,0.166382,2021-03-14 14:09:00.205366
1,26,1.430395,-0.321198,0.082460,0.166382,2021-03-14 14:09:00.205366
1,26,1.908297,-0.428263,0.088758,0.166382,2021-03-14 14:09:00.205366
1,26,0.960897,-0.183541,0.034796,-0.166382,2021-03-14 14:09:00.205366
1,26,1.432311,-0.321198,0.036264,-0.166382,2021-03-14 14:09:00.205366
1,26,1.922380,-0.367083,0.050891,-0.166382,2021-03-14 14:09:00.205366
1,26,2.471406,-1.193019,-1.045394,-0.166382,2021-03-14 14:09:00.205366
1,26,0.960626,-0.183541,0.041601,-0.083191,2021-03-14 14:09:00.205366
1,26,1.432033,-0.321198,0.045958,-0.083191,2021-03-14 14:09:00.205366
1,26,1.909794,-0.428263,0.046494,-0.083191,2021-03-14 14:09:00.205366
1,26,2.411014,-0.305902,0.286912,-0.083191,2021-03-14 14:09:00.205366
1,26,2.504802,-1.193019,-0.962634,-0.083191,2021-03-14 14:09:00.205366
1,26,1.837563,-2.248383,1.818337,-0.083191,2021-03-14 14:09:00.205366
1,26,3.209885,1.177724,-0.218658,-0.083191,2021-03-14 14:09:00.205366
1,26,3.137305,-2.202497,-0.798663,-0.083191,2021-03-14 14:09:00.205366
1,26,2.304016,-0.856527,3.047853,-0.083191,2021-03-14 14:09:00.205366
1,26,4.001162,-0.963593,1.570403,-0.083191,2021-03-14 14:09:00.205366
1,26,2.175889,3.716714,0.924943,-0.083191,2021-03-14 14:09:00.205366
1,26,4.798900,-0.917707,0.289660,-0.083191,2021-03-14 14:09:00.205366
1,26,1.575512,-3.976731,2.378844,-0.083191,2021-03-14 14:09:00.205366
2,29,1.386937,-0.458854,0.147837,0.000000,2021-03-14 14:09:00.305392
2,29,1.847333,-0.611805,0.214332,0.000000,2021-03-14 14:09:00.305392
2,29,0.954359,-0.214132,0.039584,0.083191,2021-03-14 14:09:00.305392
2,29,1.421107,-0.367083,0.041248,0.083191,2021-03-14 14:09:00.305392
2,29,1.894735,-0.489444,0.057515,0.083191,2021-03-14 14:09:00.305392
2,29,2.357804,-0.535329,0.378236,0.083191,2021-03-14 14:09:00.305392
2,29,3.603704,-1.345971,0.730218,0.083191,2021-03-14 14:09:00.305392
2,29,3.885927,-1.376561,1.551976,0.083191,2021-03-14 14:09:00.305392
2,29,0.953870,-0.214132,0.050005,0.166382,2021-03-14 14:09:00.305392
2,29,1.420355,-0.367083,0.061958,0.166382,2021-03-14 14:09:00.305392
2,29,1.893485,-0.489444,0.089690,0.166382,2021-03-14 14:09:00.305392
2,29,0.947715,-0.244722,0.012954,-0.166382,2021-03-14 14:09:00.305392
2,29,1.421420,-0.367083,0.028516,-0.166382,2021-03-14 14:09:00.305392
2,29,1.878366,-0.550624,0.037942,-0.166382,2021-03-14 14:09:00.305392
2,29,2.370397,-0.535329,0.289003,-0.166382,2021-03-14 14:09:00.305392
2,29,3.007414,-0.535329,1.551481,-0.166382,2021-03-14 14:09:00.305392
2,29,3.678987,-1.223610,0.547152,-0.166382,2021-03-14 14:09:00.305392
2,29,4.081021,-1.238905,1.101980,-0.166382,2021-03-14 14:09:00.305392
2,29,0.947557,-0.244722,0.021640,-0.083191,2021-03-14 14:09:00.305392
2,29,1.421045,-0.367083,0.043342,-0.083191,2021-03-14 14:09:00.305392
2,29,1.877660,-0.550624,0.063965,-0.083191,2021-03-14 14:09:00.305392
2,29,2.364430,-0.535329,0.334326,-0.083191,2021-03-14 14:09:00.305392
2,29,3.077193,-0.642395,1.362505,-0.083191,2021-03-14 14:09:00.305392
2,29,3.679005,-1.223610,0.547026,-0.083191,2021-03-14 14:09:00.305392
2,29,4.075107,-1.238905,1.123653,-0.083191,2021-03-14 14:09:00.305392
2,29,2.513875,-1.070658,4.060745,-0.083191,2021-03-14 14:09:00.305392
2,29,1.410909,-2.906073,-3.676901,-0.083191,2021-03-14 14:09:00.305392
2,29,4.635178,-2.691941,-0.504744,-0.083191,2021-03-14 14:09:00.305392
2,29,4.318758,3.196680,-0.340224,-0.083191,2021-03-14 14:09:00.305392
3,38,0.946343,-0.244722,0.052598,0.000000,2021-03-14 14:09:00.405413
3,38,1.421540,-0.367083,0.021744,0.000000,2021-03-14 14:09:00.405413
3,38,1.904203,-0.428263,-0.153245,0.000000,2021-03-14 14:09:00.405413
3,38,0.930653,-0.275312,0.127706,0.083191,2021-03-14 14:09:00.405413
3,38,1.389844,-0.412968,0.231926,0.083191,2021-03-14 14:09:00.405413
3,38,1.821027,-0.550624,0.462122,0.083191,2021-03-14 14:09:00.405413
3,38,2.195327,-0.611805,0.891693,0.083191,2021-03-14 14:09:00.405413
3,38,0.603062,2.217792,0.840592,0.083191,2021-03-14 14:09:00.405413
3,38,2.939359,-1.177724,-1.308182,0.083191,2021-03-14 14:09:00.405413
3,38,2.119653,-2.676646,-0.284338,0.083191,2021-03-14 14:09:00.405413
3,38,3.881235,0.244722,-0.455701,0.083191,2021-03-14 14:09:00.405413
3,38,2.416346,-3.059024,0.367668,0.083191,2021-03-14 14:09:00.405413
3,38,4.385471,0.412968,0.032772,0.083191,2021-03-14 14:09:00.405413
3,38,2.398953,-2.340153,2.858790,0.083191,2021-03-14 14:09:00.405413
